Nie dalo sie otworzyc pliku teren2.map do odczytu!

Odczyt danych o terrainie z pliku ..\teren2.map

  size sektora = 480.000000
  czas odnowy przedmiotu = 120.000000
  if_toroidal_world = 0
  border_x = -1.000000
  border_z = -1.000000
  liczba sekt. = 372
    mapa w=0, k=0, l.oczek = 16
    mapa w=0, k=1, l.oczek = 16
    mapa w=-1, k=0, l.oczek = 16
    mapa w=0, k=-1, l.oczek = 8
    mapa w=1, k=-2, l.oczek = 8
    mapa w=2, k=-3, l.oczek = 8
    mapa w=2, k=-1, l.oczek = 8
    mapa w=1, k=0, l.oczek = 8
    mapa w=16, k=-9, l.oczek = 8
    mapa w=20, k=-9, l.oczek = 8
    mapa w=-1, k=1, l.oczek = 16
    mapa w=-1, k=-1, l.oczek = 8
    mapa w=-2, k=0, l.oczek = 8
    mapa w=0, k=-2, l.oczek = 8
    mapa w=1, k=-3, l.oczek = 8
    mapa w=1, k=-1, l.oczek = 8
    mapa w=3, k=-3, l.oczek = 8
    mapa w=2, k=0, l.oczek = 8
    mapa w=1, k=1, l.oczek = 8
    mapa w=5, k=-5, l.oczek = 8
    mapa w=7, k=-7, l.oczek = 8
    mapa w=-3, k=0, l.oczek = 8
    mapa w=-2, k=1, l.oczek = 8
    mapa w=0, k=-3, l.oczek = 8
    mapa w=3, k=0, l.oczek = 8
    mapa w=20, k=-3, l.oczek = 8
    mapa w=20, k=-11, l.oczek = 8
    mapa w=2, k=-2, l.oczek = 8
    mapa w=0, k=-4, l.oczek = 8
    mapa w=4, k=0, l.oczek = 8
    mapa w=6, k=-6, l.oczek = 8
    mapa w=3, k=-2, l.oczek = 8
    mapa w=5, k=0, l.oczek = 8
    mapa w=2, k=1, l.oczek = 8
    mapa w=0, k=-5, l.oczek = 8
    mapa w=-3, k=1, l.oczek = 8
    mapa w=3, k=-1, l.oczek = 8
    mapa w=0, k=-6, l.oczek = 8
    mapa w=6, k=0, l.oczek = 8
    mapa w=-2, k=-1, l.oczek = 8
    mapa w=-1, k=-2, l.oczek = 8
    mapa w=0, k=-7, l.oczek = 8
    mapa w=7, k=0, l.oczek = 8
    mapa w=4, k=-4, l.oczek = 8
    mapa w=0, k=-8, l.oczek = 8
    mapa w=8, k=0, l.oczek = 8
    mapa w=1, k=-4, l.oczek = 8
    mapa w=4, k=-1, l.oczek = 8
    mapa w=9, k=0, l.oczek = 8
    mapa w=10, k=0, l.oczek = 8
    mapa w=4, k=-3, l.oczek = 8
    mapa w=4, k=-5, l.oczek = 8
    mapa w=11, k=0, l.oczek = 8
    mapa w=12, k=0, l.oczek = 8
    mapa w=13, k=0, l.oczek = 8
    mapa w=-3, k=-1, l.oczek = 8
    mapa w=3, k=1, l.oczek = 8
    mapa w=1, k=-5, l.oczek = 8
    mapa w=14, k=0, l.oczek = 8
    mapa w=15, k=0, l.oczek = 8
    mapa w=-2, k=-2, l.oczek = 8
    mapa w=16, k=0, l.oczek = 8
    mapa w=4, k=1, l.oczek = 8
    mapa w=5, k=-1, l.oczek = 8
    mapa w=29, k=-13, l.oczek = 8
    mapa w=5, k=-4, l.oczek = 8
    mapa w=29, k=-16, l.oczek = 8
    mapa w=4, k=-2, l.oczek = 8
    mapa w=-1, k=-4, l.oczek = 8
    mapa w=1, k=-6, l.oczek = 8
    mapa w=6, k=-1, l.oczek = 8
    mapa w=3, k=-5, l.oczek = 8
    mapa w=5, k=-2, l.oczek = 8
    mapa w=2, k=-5, l.oczek = 8
    mapa w=29, k=-6, l.oczek = 8
    mapa w=-3, k=-2, l.oczek = 8
    mapa w=5, k=-6, l.oczek = 8
    mapa w=28, k=-10, l.oczek = 8
    mapa w=1, k=-7, l.oczek = 8
    mapa w=-1, k=-5, l.oczek = 8
    mapa w=6, k=-5, l.oczek = 8
    mapa w=6, k=-7, l.oczek = 8
    mapa w=5, k=-3, l.oczek = 8
    mapa w=2, k=-6, l.oczek = 8
    mapa w=7, k=-6, l.oczek = 8
    mapa w=17, k=-5, l.oczek = 8
    mapa w=4, k=-6, l.oczek = 8
    mapa w=7, k=-1, l.oczek = 8
    mapa w=-1, k=-6, l.oczek = 8
    mapa w=16, k=-8, l.oczek = 8
    mapa w=1, k=-8, l.oczek = 8
    mapa w=8, k=-1, l.oczek = 8
    mapa w=-2, k=-4, l.oczek = 8
    mapa w=3, k=-6, l.oczek = 8
    mapa w=6, k=-4, l.oczek = 8
    mapa w=21, k=-7, l.oczek = 8
    mapa w=7, k=-8, l.oczek = 8
    mapa w=8, k=-7, l.oczek = 8
    mapa w=6, k=-2, l.oczek = 8
    mapa w=23, k=-12, l.oczek = 8
    mapa w=5, k=-7, l.oczek = 8
    mapa w=23, k=-11, l.oczek = 8
    mapa w=2, k=-7, l.oczek = 8
    mapa w=23, k=-5, l.oczek = 8
    mapa w=6, k=-3, l.oczek = 8
    mapa w=7, k=-2, l.oczek = 8
    mapa w=9, k=-1, l.oczek = 8
    mapa w=4, k=-7, l.oczek = 8
    mapa w=-2, k=-5, l.oczek = 8
    mapa w=3, k=-7, l.oczek = 8
    mapa w=7, k=-5, l.oczek = 8
    mapa w=7, k=-4, l.oczek = 8
    mapa w=10, k=-1, l.oczek = 8
    mapa w=7, k=-3, l.oczek = 8
    mapa w=9, k=1, l.oczek = 8
    mapa w=24, k=-2, l.oczek = 8
    mapa w=29, k=-15, l.oczek = 8
    mapa w=2, k=-8, l.oczek = 8
    mapa w=29, k=-14, l.oczek = 8
    mapa w=6, k=-8, l.oczek = 8
    mapa w=25, k=-4, l.oczek = 8
    mapa w=-2, k=-6, l.oczek = 8
    mapa w=10, k=1, l.oczek = 8
    mapa w=11, k=-1, l.oczek = 8
    mapa w=28, k=-7, l.oczek = 8
    mapa w=24, k=-8, l.oczek = 8
    mapa w=8, k=-2, l.oczek = 8
    mapa w=8, k=-6, l.oczek = 8
    mapa w=3, k=-8, l.oczek = 8
    mapa w=8, k=-3, l.oczek = 8
    mapa w=5, k=-8, l.oczek = 8
    mapa w=8, k=-5, l.oczek = 8
    mapa w=27, k=-8, l.oczek = 8
    mapa w=9, k=-2, l.oczek = 8
    mapa w=26, k=-6, l.oczek = 8
    mapa w=4, k=-8, l.oczek = 8
    mapa w=19, k=-4, l.oczek = 8
    mapa w=21, k=-3, l.oczek = 8
    mapa w=25, k=-2, l.oczek = 8
    mapa w=22, k=-6, l.oczek = 8
    mapa w=12, k=-1, l.oczek = 8
    mapa w=8, k=-4, l.oczek = 8
    mapa w=11, k=1, l.oczek = 8
    mapa w=17, k=-6, l.oczek = 8
    mapa w=12, k=1, l.oczek = 8
    mapa w=13, k=-1, l.oczek = 8
    mapa w=17, k=-11, l.oczek = 8
    mapa w=25, k=-7, l.oczek = 8
    mapa w=18, k=-5, l.oczek = 8
    mapa w=10, k=-2, l.oczek = 8
    mapa w=9, k=-3, l.oczek = 8
    mapa w=31, k=-9, l.oczek = 8
    mapa w=9, k=-6, l.oczek = 8
    mapa w=9, k=-5, l.oczek = 8
    mapa w=26, k=-10, l.oczek = 8
    mapa w=26, k=-16, l.oczek = 8
    mapa w=14, k=-1, l.oczek = 8
    mapa w=13, k=1, l.oczek = 8
    mapa w=9, k=-4, l.oczek = 8
    mapa w=9, k=2, l.oczek = 8
    mapa w=11, k=-9, l.oczek = 8
    mapa w=21, k=-8, l.oczek = 8
    mapa w=11, k=-2, l.oczek = 8
    mapa w=28, k=-5, l.oczek = 8
    mapa w=17, k=-7, l.oczek = 8
    mapa w=17, k=-10, l.oczek = 8
    mapa w=17, k=-9, l.oczek = 8
    mapa w=28, k=-11, l.oczek = 8
    mapa w=15, k=-1, l.oczek = 8
    mapa w=10, k=-3, l.oczek = 8
    mapa w=16, k=-1, l.oczek = 8
    mapa w=29, k=-9, l.oczek = 8
    mapa w=24, k=-9, l.oczek = 8
    mapa w=10, k=-5, l.oczek = 8
    mapa w=12, k=-10, l.oczek = 8
    mapa w=17, k=-8, l.oczek = 8
    mapa w=10, k=2, l.oczek = 8
    mapa w=10, k=-4, l.oczek = 8
    mapa w=12, k=-2, l.oczek = 8
    mapa w=10, k=-6, l.oczek = 8
    mapa w=11, k=-3, l.oczek = 8
    mapa w=17, k=-1, l.oczek = 8
    mapa w=11, k=-8, l.oczek = 8
    mapa w=13, k=-2, l.oczek = 8
    mapa w=26, k=-2, l.oczek = 8
    mapa w=22, k=-3, l.oczek = 8
    mapa w=26, k=-4, l.oczek = 8
    mapa w=18, k=-6, l.oczek = 8
    mapa w=18, k=-1, l.oczek = 8
    mapa w=21, k=-9, l.oczek = 8
    mapa w=21, k=-12, l.oczek = 8
    mapa w=24, k=-5, l.oczek = 8
    mapa w=30, k=-11, l.oczek = 8
    mapa w=11, k=2, l.oczek = 8
    mapa w=26, k=-15, l.oczek = 8
    mapa w=20, k=-4, l.oczek = 8
    mapa w=11, k=-7, l.oczek = 8
    mapa w=30, k=-8, l.oczek = 8
    mapa w=21, k=-11, l.oczek = 8
    mapa w=26, k=-11, l.oczek = 8
    mapa w=11, k=-4, l.oczek = 8
    mapa w=19, k=-5, l.oczek = 8
    mapa w=12, k=-9, l.oczek = 8
    mapa w=11, k=-6, l.oczek = 8
    mapa w=11, k=-5, l.oczek = 8
    mapa w=12, k=-3, l.oczek = 8
    mapa w=22, k=-7, l.oczek = 8
    mapa w=21, k=-10, l.oczek = 8
    mapa w=9, k=3, l.oczek = 8
    mapa w=12, k=2, l.oczek = 8
    mapa w=14, k=-2, l.oczek = 8
    mapa w=26, k=-12, l.oczek = 8
    mapa w=27, k=-9, l.oczek = 8
    mapa w=26, k=-14, l.oczek = 8
    mapa w=23, k=-6, l.oczek = 8
    mapa w=27, k=-2, l.oczek = 8
    mapa w=24, k=-10, l.oczek = 8
    mapa w=18, k=-7, l.oczek = 8
    mapa w=24, k=-14, l.oczek = 8
    mapa w=13, k=-10, l.oczek = 8
    mapa w=10, k=3, l.oczek = 8
    mapa w=13, k=2, l.oczek = 8
    mapa w=13, k=-3, l.oczek = 8
    mapa w=15, k=-2, l.oczek = 8
    mapa w=23, k=-3, l.oczek = 8
    mapa w=12, k=-8, l.oczek = 8
    mapa w=28, k=-16, l.oczek = 8
    mapa w=26, k=-13, l.oczek = 8
    mapa w=12, k=-4, l.oczek = 8
    mapa w=28, k=-12, l.oczek = 8
    mapa w=21, k=-4, l.oczek = 8
    mapa w=27, k=-6, l.oczek = 8
    mapa w=25, k=-8, l.oczek = 8
    mapa w=12, k=-5, l.oczek = 8
    mapa w=12, k=-7, l.oczek = 8
    mapa w=21, k=-1, l.oczek = 8
    mapa w=24, k=-11, l.oczek = 8
    mapa w=24, k=-13, l.oczek = 8
    mapa w=12, k=-6, l.oczek = 8
